sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum
6,Yrd. Doç. Dr.,Jens Allmer,2010,Biyoinformatik,İzmir Yüksek Teknoloji Enstitüsü
7,Yrd. Doç. Dr.,Günay Yetik Anacak,2010,Eczacılık/Farmakoloji,Ege Üniversitesi
8,Yrd. Doç. Dr.,Erhan Artuç,2010,Ekonomi,Koç Üniversitesi
9,Doç. Dr.,Yusuf Baran,2010,Moleküler Biyoloji ve Genetik,İzmir Yüksek Teknoloji Enstitüsü
10,Yrd. Doç. Dr.,Demircan Canadinç,2010,Makine Mühendisliği,Koç Üniversitesi
11,Doç. Dr.,Atilla Cihaner,2010,Kimya,Atılım Üniversitesi
12,Yrd. Doç. Dr.,Selin Aradağ Çelebioğlu,2010,Makine Mühendisliği,TOBB Ekonomi ve Teknoloji Üniversitesi
13,Yrd. Doç. Dr.,Zeynep Ayşecan Boduroğlu Gököz,2010,Psikoloji,Boğaziçi Üniversitesi
14,Prof. Dr.,Ertuğrul Kılıç,2010,Tıp/Fizyoloji,Yeditepe Üniversitesi
15,Yrd. Doç. Dr.,Serdar Kozat,2010,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
16,Yrd. Doç. Dr.,Tarcan Kumkale,2010,Psikoloji,Koç Üniversitesi
17,Yrd. Doç. Dr.,Hamza Kurt,2010,Elektrik-Elektronik Mühendisliği,TOBB Ekonomi ve Teknoloji Üniversitesi
18,Doç. Dr. Tuba,Çiğdem Oğuzoğlu,2010,Veterinerlik,Ankara Üniversitesi
19,Yrd. Doç. Dr.,Özhan Özatay,2010,Fizik,Boğaziçi Üniversitesi
20,Yrd. Doç. Dr.,Emrah Özensoy,2010,Kimya,Bilkent Üniversitesi
21,Yrd. Doç. Dr.,Müfit Sezer,2010,Matematik,Bilkent Üniversitesi
22,Yrd. Doç. Dr.,Çağdaş D. Son,2010,Biyoloji,Ortadoğu Teknik Üniversitesi
23,Yrd. Doç. Dr.,Gözde Ünal,2010,Bilgisayar ve Elektronik Mühendisliği,Sabancı Üniversitesi
24,Dr.,Erkan Yılmaz,2010,Biyoteknoloji,Ankara Üniversitesi
1,Doç. Dr.,Mehmet Akar,2009,Elektrik-Elektronik Mühendisliği,Boğaziçi Üniversitesi
2,Yrd. Doç. Dr.,Burhanettin Erdem Alaca,2009,Makine Mühendisliği,Koç Üniversitesi
3,Yrd. Doç. Dr.,Meltem Doğan Alparslan,2009,Arkeoloji,İstanbul Üniversitesi
4,Yrd. Doç. Dr.,Ahmet Kerim Avcı,2009,Kimya Mühendisliği,Boğaziçi Üniversitesi
5,Yrd. Doç. Dr.,Abdurrahman Bekir Aydemir,2009,Ekonomi,Sabancı Üniversitesi
6,Yrd. Doç. Dr.,Türker Bıyıkoğlu,2009,Matematik,Işık Üniversitesi
7,Yrd. Doç. Dr.,Hüseyin Boyacı,2009,Psikoloji,Bilkent Üniversitesi
8,Doç. Dr.,Mehmet Cansev,2009,Tıp-Farmakoloji,Uludağ Üniversitesi
9,Yrd. Doç.Dr.,Barış Coşkunüzer,2009,Matematik,Koç Üniversitesi
10,Yrd. Doç. Dr.,Hakan Çevikalp,2009,Elektrik-Elektronik Mühendisliği,Osmangazi Üniversitesi
11,Yrd. Doç.Dr.,Hanife Genç,2009,Ziraat-Bitki Koruma,Çanakkale Onsekizmart Üniversitesi
12,Yrd. Doç. Dr.,Oğuzhan Gürlü,2009,Fizik Mühendisliği,İstanbul Teknik Üniversitesi
13,Yrd. Doç. Dr.,Metin Muradoğlu,2009,Makine Mühendisliği,Koç Üniversitesi
14,Yrd. Doç. Dr.,Bahar Rumelili Sancak,2009,Uluslararası İlişkiler,Koç Üniversitesi
15,Yrd. Doç. Dr.,Murat Saraçlar,2009,Elektrik-Elektronik Mühendisliği,Boğaziçi Üniversitesi
16,Yrd. Doç. Dr.,Kürşat Şendur,2009,Elektrik-Bilgisayar Mühendisliği,Sabancı Üniversitesi
17,Doç. Dr.,Süreyya Kayhan Ülker,2009,Fizik,Feza Gürsey Enstitüsü
18,Dr.,Hüsnü Emrah Ünalan,2009,Metalurji ve Malzeme Mühendisliği,ODTÜ
19,Dr.,Murat Burak Yaylaoğlu,2009,Biyoloji,ODTÜ (Ödülü iptal oldu)
1,Yrd. Doç.,Dr. Burak Acar,2008,Elektrik-Elektronik Mühendisliği,Boğaziçi Üniversitesi
2,Doç. Dr.,Özgür Barış Akan,2008,Elektrik-Elektronik Mühendisliği,ODTÜ
3,Doç. Dr.,Taylan Akdoğan,2008,Fizik,Boğaziçi Üniversitesi
4,Yrd. Doç. Dr.,Emre Alkan,2008,Matematik,Koç Üniversitesi
5,Prof. Dr.,Orhan Aydın,2008,Makine Mühendisliği,Karadeniz Teknik Üniversitesi
6,Dr.,Petek Ballar,2008,Eczacılık/Biyokimya,Ege Üniversitesi
7,Yrd. Doç. Dr.,Hatice Pınar Bilgin,2008,Uluslararası İlişkiler,Bilkent Üniversitesi
8,Yrd. Doç. Dr.,Yusuf Civan,2008,Matematik,Süleyman Demirel Üniversitesi
9,Doç. Dr.,Selva Demiralp Cuda,2008,Ekonomi,Koç Üniversitesi
10,Yrd. Doç. Dr.,Arzu Çelik,2008,Moleküler Biyoloji ve Genetik,Boğaziçi Üniversitesi
11,Yrd. Doç. Dr.,Müjdat Çetin,2008,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
12,Prof. Dr.,Serkant Ali Çetin,2008,Fizik,Doğuş Üniversitesi
13,Doç. Dr.,Seydi Doğan,2008,Fizik,Atatürk Üniversitesi
14,Yrd. Doç. Dr.,Alper Tunga Erdoğan,2008,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
15,Yrd. Doç.,Nuray Erin,2008,Tıp/İç Hastalıklar,Akdeniz Üniversitesi
16,Yrd. Doç. Dr.,Devrim Gözüaçık,2008,Biyolojik Bilimler ve Biyomühendislik,Sabancı Üniversitesi
17,Doç. Dr.,Kaan Güven,2008,Fizik/Nanoteknoloji,Bilkent Üniversitesi
18,Doç. Dr.,Bahar Yetiş Kara,2008,Endüstri Mühendisliği,Bilkent Üniversitesi
19,Yrd. Doç. Dr.,Güllü Kızıltaş,2008,Mekatronik Mühendisliği,Sabancı Üniversitesi
20,Doç. Dr.,Mehmet Kitiş,2008,Çevre Mühendisliği,Süleyman Demirel Üniversitesi
21,Doç. Dr.,Arzu Karabay Korkmaz,2008,Moleküler Biyoloji ve Genetik,İstanbul Teknik Üniversitesi
22,Yrd. Doç. Dr.,Hakan Özgür Özer,2008,Fizik,İstanbul Teknik Üniversitesi
23,Yrd. Doç. Dr.,Amitav Sanyal,2008,Kimya,Boğaziçi Üniversitesi
24,Doç. Dr.,Murat Sezer,2008,Tıp/Kardiyoloji,İstanbul Üniversitesi
25,Yrd. Doç. Dr.,Nurettin Şahiner,2008,Kimya,Çanakkale Onsekiz Mart Üniversitesi
26,Yrd. Doç. Dr.,Serdar Taşıran,2008,Bilgisayar Mühendisliği,Koç Üniversitesi
27,Doç. Dr.,İrem Dikmen Toker,2008,İnşaat Mühendisliği,ODTÜ
28,Doç. Dr.,Gültekin Topuz,2008,Jeoloji Mühendisliği,İstanbul Teknik Üniversitesi
29,Yrd. Doç. Dr.,Yusuf Tutar,2008,Kimya,Cumhuriyet Üniversitesi
30,Doç. Dr.,Şuhnaz Yılmaz,2008,Uluslararası İlişkiler,Koç Üniversitesi
31,Yrd. Doç. Dr.,Can A. Yücesoy,2008,Biyomedikal Mühendisliği,Boğaziçi Üniversitesi
1,Doç. Dr.,Yusuf Aksar,2007,Hukuk,Karadeniz Teknik Üniversitesi
2,Doç. Dr.,Yeşim Müride Atamer,2007,Hukuk,İstanbul Bilgi Üniversitesi
3,Doç. Dr.,Kubilay Aydın,2007,Tıp/Radyodiagnostik,İstanbul Üniversitesi
4,Doç. Dr.,Nihal Aydoğan,2007,Kimya Mühendisliği,Hacettepe Üniversitesi
5,Doç. Dr.,Alper Baba,2007,Jeoloji Mühendisliği,Çanakkale Onsekizmart Üniversitesi
6,Doç. Dr.,Melih Ö. Babaoğlu,2007,Tıp/Farmakoloji,Hacettepe Üniversitesi
7,Yrd. Doç. Dr.,Mehmet Bayındır,2007,Fizik,Bilkent Üniversitesi
8,Doç. Dr.,Adil Baykasoğlu,2007,Endüstri Mühendisliği,Gaziantep Üniversitesi
9,Doç. Dr.,İsmail Boztosun,2007,Fizik,Akdeniz Üniversitesi
10,Doç. Dr.,Ahmet Arif Ergin,2007,Elektrik-Elektronik Mühendisliği,Gebze Yüksek Teknoloji Enstitüsü
11,Yrd. Doç. Dr.,Vakur Behçet Ertürk,2007,Elektrik-Elektronik Mühendisliği,Bilkent Üniversitesi
12,Yrd. Doç. Dr.,Refet Soykan Gürkaynak,2007,Ekonomi,Bilkent Üniversitesi
13,Yrd. Doç. Dr.,Emrah Kalemci,2007,Astrofizik,Sabancı Üniversitesi
14,Yrd. Doç. Dr.,Özlem Öz Özkaracalar,2007,İşletme,Boğaziçi Üniversitesi
15,Doç. Dr.,Fikri Karaesmen,2007,Endüstri Mühendisliği,Koç Üniversitesi
16,Yrd. Doç.,Dr. Ahmet Koç,2007,Moleküler Biyoloji ve Genetik,İzmir Yüksek Teknoloji Enstitüsü
17,Yrd. Doç. Dr.,Ceren Gönen Korkmaz,2007,Tıp/Farmakoloji,Ege Üniversitesi
18,Doç. Dr.,Işıl Aksan Kurnaz,2007,Genetik ve Biyomühendislik,Yeditepe Üniversitesi
19,Yrd. Doç. Dr.,M. Kıvanç Mıhçak,2007,Elektrik-Elektronik Mühendisliği,Boğaziçi Üniversitesi
20,Yrd. Doç. Dr.,Zeynep Çizmeli Öğün,2007,Arkeoloji,Ankara Üniversitesi
21,Doç. Dr.,Cenap Özel,2007,Matematik,Abant İzzet Baysal Üniversitesi
22,Prof. Dr.,Mehmet Remzi Sanver,2007,Ekonomi,İstanbul Bilgi Üniversitesi
23,Doç. Dr.,Ender Suvacı,2007,Malzeme Bilimi ve Mühendisliği,Anadolu Üniversitesi
24,Doç. Dr.,Hakan Ürey,2007,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
25,Doç. Dr.,E. Aydın Yağmurlu,2007,Tıp/Çocuk Cerrahisi,Ankara Üniversitesi
26,Doç. Dr.,Halit Yanıkkaya,2007,Ekonomi,Celal Bayar Üniversitesi
1,Doç. Dr.,Hikmet Budak,2006,Biyoloji ve Biyomühendislik,Sabancı Üniversitesi
2,Doç. Dr.,Hamit Coşkun,2006,Psikoloji,Abant İzzet Baysal Üniversitesi
3,Yrd. Doç. Dr.,Hilmi Volkan Demir,2006,Elektrik-Elektronik Mühendisliği/Fizik,Bilkent Üniversitesi
4,Prof. Dr.,Tuğrul Dayar,2006,Bilgisayar Mühendisliği,Bilkent Üniversitesi
5,Doç. Dr.,Nihat Sadık Değer,2006,Matematik,Koç Üniversitesi
6,Doç. Dr.,Ali Düzova,2006,Tıp/Çocuk Hastalıkları,Hacettepe Üniversitesi
7,Doç. Dr.,Mehmet Batu Erman,2006,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
8,Yrd. Doç. Dr.,Ayşe Elif Erson,2006,Biyoloji,ODTÜ
9,Doç. Dr.,Şermin Genç,2006,Tıp/Nöroloji,Dokuz Eylül Üniversitesi
10,Doç. Dr.,Aylin Güney,2006,Siyaset Bilimi,Bilkent Üniversitesi
11,Yrd. Doç. Dr.,Ayşe Gürel,2006,Eğitim,Boğaziçi Üniversitesi
12,Yrd. Doç. Dr.,Fatih Ömer İlday,2006,Fizik,Bilkent Üniversitesi
13,Doç. Dr.,Saip Nami Kartal,2006,Orman Endüstri Mühendisliği,İstanbul Üniversitesi
14,Yrd. Doç. Dr.,İbrahim Halil Kavaklı,2006,Kimya ve Biyoloji Mühendisliği,Koç Üniversitesi
15,Doç. Dr.,Hüseyin Kaya,2006,Temel Bilimler/Tıbbi Biyoloji,Atatürk Üniversitesi
16,Yrd. Doç. Dr.,İbrahim Kaya,2006,Sosyoloji,Dumlupınar Üniversitesi
17,Doç. Dr.,Z. Özlem Keskin,2006,Kimya ve Biyoloji Mühendisliği,Koç Üniversitesi
18,Doç. Dr.,Özgür Kıbrıs,2006,Ekonomi,Sabancı Üniversitesi
19,Doç. Dr.,Alper Kiraz,2006,Fizik,Koç Üniversitesi
20,Doç. Dr.,Selda Küçükçifçi,2006,Matematik,Koç Üniversitesi
21,Prof. D.,Mahmut D. Mat,2006,Makine Mühendisliği,Niğde Üniversitesi
22,Doç. Dr.,Handan Arkın Olğar,2006,Fizik Mühendisliği,Ankara Üniversitesi
23,Doç. Dr.,Umut Özkırımlı,2006,Uluslararası İlişkiler,İstanbul Bilgi Üniversitesi
24,Doç. Dr.,Nesrin Özören,2006,Moleküler Biyoloji ve Genetik,Boğaziçi Üniversitesi
25,Doç. Dr.,Altuğ Özpineci,2006,Fizik,ODTÜ
26,Doç. Dr.,Ramazan Tuğrul Senger,2006,Fizik,İzmir Yüksek Teknoloji Enstitüsü
27,Yrd. Doç. Dr.,Süleyman Seydi,2006,Tarih,Süleyman Demirel Üniversitesi
28,Yrd. Doç. Dr.,Derya Gürses Tarbuck,2006,Tarih,Mersin Üniversitesi
29,Doç. Dr.,A. Muhammed Uludağ,2006,Matematik,Galatasaray Üniversitesi
30,Doç. Dr.,Okan Bülent Yıldız,2006,Tıp/İç Hastalıkları,Hacettepe Üniversitesi
1,Prof. Dr.,Ahmet Erhan Aksoylu,2005,Kimya Mühendisliği,Boğaziçi Üniversitesi
2,Prof. Dr.,C. Emre Alper,2005,Ekonomi,Boğaziçi Üniversitesi
3,Doç. Dr.,Ramazan Bal,2005,Veteriner/Fizyoloji,Fırat Üniversitesi
4,Prof. Dr.,Suat Erdoğan,2005,Veteriner/Biyokimya,Mustafa Kemal Üniversitesi
5,Doç. Dr.,Tolga Etgü,2005,Matematik,Koç Üniversitesi
6,Doç. Dr.,Oya Ekin Karaşan,2005,Endüstri Mühendisliği,Bilkent Üniversitesi
7,Doç. Dr.,Ceyhun Karpuz,2005,Elektrik/Elektronik Mühendisliği,Pamukkale Üniversitesi
8,Doç. Dr.,Ayhan Kaya,2005,Uluslararası İlişkiler,İstanbul Bilgi Üniversitesi
9,Doç. Dr.,Ali Kaya,2005,Fizik,Boğaziçi Üniversitesi
10,Yrd. Doç. Dr.,Mehmet Özgür Oktel,2005,Fizik,Bilkent Üniversitesi
11,Doç. Dr.,Yasemin Gürsoy Özdemir,2005,Tıp/Nöroloji,Hacettepe Üniversitesi
12,Doç. Dr.,Gürsel Sönmez,2005,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
13,Prof. Dr.,Barış Tan,2005,İşletme,Koç Üniversitesi
14,Prof. Dr.,Cemal Turan,2005,Su Ürünleri,Mustafa Kemal Üniversitesi
15,Yrd. Doç. Dr.,M. Utku Ünver,2005,Ekonomi,Koç Üniveristesi
16,Yrd. Doç. Dr.,Ergün Yalçın,2005,Matematik,Bilkent Üniversitesi
17,Doç. Dr.,Ümit Yaşar,2005,Tıp/Farmakoloji,Hacettepe Üniversitesi
1,Doç. Dr.,İdil Arslan Alaton,2004,Çevre Mühendisliği,İTÜ
2,Doç. Dr.,Mutlu Arat,2004,Tıp/Hematoloji,Ankara Üniversitesi
3,Prof. Dr.,Canan Atılgan,2004,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
4,Prof. Dr.,Erdal Bedir,2004,Biyomühendislik,Ege Üniversitesi
5,Doç. Dr.,Vural Bütün,2004,Kimya,Osmangazi Üniversitesi
6,Doç. Dr.,Gülfem E. Çelik,2004,Tıp/Göğüs Hastalıkları,Ankara Üniversitesi
7,Doç. Dr.,Münire Özlem Çevik,2004,Psikoloji,Abant İzzet Baysal Üniversitesi
8,Prof. Dr.,Durmuş Ali Demir,2004,Fizik,İzmir Yüksek Teknoloji Enstitüsü
9,Doç. Dr.,Anne Frary,2004,Biyoloji,İzmir Yüksek Teknoloji Enstitüsü
10,Doç. Dr.,Ünsal Gemici,2004,Jeoloji Mühendisliği,Dokuz Eylül Üniversitesi
11,Doç. Dr.,Ersin Göğüş,2004,Fizik,Sabancı Üniversitesi
12,Prof. Dr.,Vural Gökmen,2004,Gıda Mühendisliği,Hacettepe Üniversitesi
13,Yrd. Doç. Dr.,Kaan İren,2004,Arkeoloji,Muğla Üniversitesi
14,Doç. Dr.,İbrahim Karnak,2004,Tıp/Çocuk Cerrahisi,Hacettepe Üniversitesi
15,Dr.,Reyhan Diz Küçükkaya,2004,Tıp/İç Hastalıkları,İstanbul Üniversitesi
16,Doç. Dr.,Özgür Esat Müstecaplıoğlu,2004,Fizik,Koç Üniversitesi
17,Doç. Dr.,Yıldıray Ozan,2004,Matematik,ODTÜ
18,Doç. Dr.,İsmail Sağlam,2004,Ekonomi,Boğaziçi Üniversitesi
19,Doç. Dr.,Fikrettin Şahin,2004,Ziraat/Bitki Koruma,Yeditepe Üniversitesi
20,Doç. Dr.,Bayram Tekin,2004,Fizik,ODTÜ
21,Doç. Dr.,İsmail Yılmaz,2004,Kimya,İTÜ
22,Doç. Dr.,Mehmet Yörükoğlu,2004,Ekonomi,Sabancı Üniversitesi
1,Doç. Dr.,Haji Ahmedov,2003,Fizik,Feza Gürsey Enstitüsü
2,Prof. Dr.,Zeynep Aycan,2003,Psikoloji,Koç Üniversitesi
3,Prof. Dr.,Meltem Müftüler Baç,2003,Siyaset Bilimi/Uluslararası İlişkiler,Sabancı Üniversitesi
4,Doç. Dr.,Şölen Balman,2003,Fizik,ODTÜ
5,Doç. Dr.,Metin Bilgi,2003,Moleküler Biyoloji ve Hücre Biyolojisi,Sabancı Üniversitesi
6,Yrd. Doç. Dr.,Alper Demir,2003,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
7,Doç. Dr.,Sami Doğanlar,2003,Biyoloji,İzmir Yüksek Teknoloji Enstitüsü
8,Doç. Dr.,Elif Tekin İftar,2003,Özel Eğitim,Anadolu Üniversitesi
9,Doç. Dr.,Emine Günhan,2003,Tıp / Fizyoloji,Mersin Üniversitesi
10,Prof. Dr.,Mustafa Korkmaz,2003,Matematik,ODTÜ
11,Doç. Dr.,Ayşe Aslıhan Köksoy,2003,Tıp/Biyofizik,Ankara Üniversitesi
12,Doç. Dr.,Burak Özbağcı,2003,Matematik,Koç Üniversitesi
13,Prof. Dr.,Ferruh Özbudak,2003,Matematik,ODTÜ
14,Prof. Dr.,Osman Parlak,2003,Jeoloji Mühendisliği,Çukurova Üniversitesi
15,Doç. Dr.,Mustafa Soykut,2003,Tarih,ODTÜ
16,Prof. Dr.,Ömer Uğur,2003,Tıp/Nükleer Tıp,Hacettepe Üniversitesi
17,Prof. Dr.,Arzu Öztürkmen Yılmaz,2003,Tarih,Boğaziçi Üniversitesi
1,Doç. Dr.,Yaprak Seçil Akbaba,2002,Tıp/Nöroloji,Ege Üniversitesi
2,Doç. Dr.,Sabri Arık,2002,Elektrik-Elektronik Mühendisliği,İstanbul Üniversitesi
3,Prof. Dr.,Selçuk Atalay,2002,Fizik,İnönü Üniversitesi
4,Doç. Dr.,Nejat Bulut,2002,Fizik,Koç Üniversitesi
5,Prof. Dr.,Kansu Büyükafşar,2002,Tıp/Farmakoloji,Mersin Üniversitesi
6,Prof. Dr.,Ömer Dağ,2002,Kimya,Bilkent Üniversitesi
7,Doç. Dr.,Cemsinan Deliduman,2002,Fizik,Feza Gürsey Enstitüsü
8,Prof. Dr.,Pemra Doruker,2002,Kimya Mühendisliği,Boğaziçi Üniversitesi
9,Prof. Dr.,Y. Murat Elçin,2002,Kimya,Ankara Üniversitesi
10,Doç. Dr.,Tülin Gençöz,2002,Psikoloji,ODTÜ
11,Prof. Dr.,Levent Gürel,2002,Elektrik-Elektronik Mühendisliği,Bilkent Üniversitesi
12,Doç. Dr.,Ramazan İdilman,2002,Tıp/Gastroenteroloji,Ankara Üniversitesi
13,Prof. Dr.,Sair Kahraman,2002,Maden Mühendisliği,Niğde Üniversitesi
14,Doç. Dr.,Türker Kılıç,2002,Tıp/Nöroloji),Marmara Üniversitesi
15,Doç. Dr.,İsmail Serdar Özoğuz,2002,Elektrik-Elektronik Mühendisliği,İTÜ
16,Doç. Dr.,Lütfi Özyüzer,2002,Fizik,İzmir Yüksek Teknoloji Enstitüsü
17,Doç. Dr.,Osman Teoman Turgut,2002,Fizik,Feza Gürsey Enstitüsü
18,Prof. Dr.,Tayfun Sönmez,2002,Ekonomi,Koç Üniversitesi
19,Dr.,Bernd Wollnik,2002,Tıbbi Genetik,İstanbul Üniversitesi
20,Doç. Dr.,Şule Kurhan Yavuz,2002,Tı/İç Hastalıkları,Marmara Üniversitesi
21,Doç. Dr.,Yaşar Yılmaz,2002,Fizik,İTÜ
1,Prof. Dr.,Hakan Akbulut,2001-2,Tıp-Tıbbi Onkoloji,Ankara Üniversitesi
2,Doç. Dr.,Berahitdin Albayrak,2001-2,Astronomi ve Uzay Bilimleri,Ankara Üniversitesi
3,Doç. Dr.,Rengül Çetin Atalay,2001-2,Moleküler Biyoloji ve Genetik,Bilkent Üniversitesi
4,Prof. Dr.,Erdin Bozkurt,2001-2,Jeoloji Mühendisliği,ODTÜ
5,Prof. Dr.,Pınar Çalık,2001-2,Kimya Mühendisliği,ODTÜ
6,Prof. Dr.,A. Enis Çetin,2001-2,Elektrik-Elektronik Mühendisliği,Bilkent Üniversitesi
7,Doç. Dr.,Adem Levend Demirel,2001-2,Kimya,Koç Üniversitesi
8,Prof. Dr.,K. Arzum Erdem Gürsan,2001-2,Analitik Kimya,Ege Üniversitesi
9,Doç. Dr.,Mehmet Zafer Gedik,2001-2,Fizik,Sabancı Üniversitesi
10,Doç. Dr.,Z. Nuray Güner,2001-2,İşletme,ODTÜ
11,Prof. Dr.,Alper İskit,2001-2,Tıp/Farmakoloji,Hacettepe Üniversitesi
12,Doç. Dr.,Cüneyt Köksoy,2001-2,Tıp/Genel Cerrahi,Ankara Üniversitesi
13,Doç. Dr.,Aylin C. Küntay,2001-2,Psikoloji,Koç Üniversitesi
14,Doç. Dr.,Timo Lajunen,2001-2,Psikoloji,ODTÜ
15,Prof. Dr.,Hasan Mandal,2001-2,Seramik Mühendisliği,Anadolu Üniversitesi
16,Doç. Dr.,H. Aslı Özyürek,2001-2,Psikoloji,Koç Üniversitesi
17,Prof. Dr.,Tuncay Taymaz,2001-2,Jeoloji/Sismoloji,İTÜ
18,Yrd. Doç. Dr.,Uygar H. Tazebay,2001-2,Moleküler Biyoloji ve Genetik,Bilkent Üniversitesi
19,Doç. Dr.,Mustafa Tekin,2001-2,Tıp/Pediatri,Ankara Üniversitesi
20,Prof. Dr.,Uğur Tırnaklı,2001-2,Fizik,Ege Üniversitesi
1,Prof. Dr.,Ethem Alpaydın,2001-1,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi
2,Prof. Dr.,Abdullah Bereket,2001-1,Tıp,Marmara Üniversitesi
3,Prof. Dr.,Arif Daştan,2001-1,Kimya,Atatürk Üniversitesi
4,Prof. Dr.,Ersan Demiralp,2001-1,Fizik,Boğaziçi Üniversitesi
5,Prof. Dr.,Mehmet Ertuğrul,2001-1,Fizik,Atatürk Üniversitesi
6,Prof. Dr.,Ahmet Gül,2001-1,Tıp,İstanbul Üniversitesi
7,Prof. Dr.,Türkan Haliloğlu,2001-1,Kimya Mühendisliği,Boğaziçi Üniversitesi
8,Prof. Dr.,Erhan Onur İltan,2001-1,Fizik,ODTÜ
9,Prof. Dr.,Ali Mostafazadeh,2001-1,"Matematik, Fizik",Koç Üniversitesi
10,Doç. Dr.,Nuray Sakallı,2001-1,Psikoloji,ODTÜ
11,Prof. Dr.,Alphan Sennaroğlu,2001-1,"Fizik / Lazer Fiziği, Nonlineer Optik",Koç Üniversitesi
12,Doç. Dr.,Selami Sezgin,2001-1,Maliye,Pamukkale Üniversitesi
13,Prof. Dr.,Alaattin Şen,2001-1,Biyoloji,Pamukkale Üniversitesi
14,Doç. Dr.,Ali İzzet Tekcan,2001-1,Psikoloji,Boğaziçi Üniversitesi
15,Prof. Dr.,Hasan Gürkan Tekman,2001-1,Psikoloji-Enformatik,Uludağ Üniversitesi
16,Doç. Dr.,Emel Ulupınar,2001-1,Tıp,Osmangazi Üniversitesi
